"t1" "t2" "ageFrom" "ageTo" "obs" "fleet"
"1120" 1989 1989.25 1 1 1717.49 2
"1639" 1989 1989.25 1 1 2017 3
"451" 1989 1989.25 2 2 48 1
"1243" 1989 1989.25 2 2 48.06 2
"1680" 1989 1989.25 2 2 254 3
"646" 1989 1989.25 3 3 6 1
"1366" 1989 1989.25 3 3 7.03 2
"1721" 1989 1989.25 3 3 170 3
"841" 1989 1989.25 4 4 0 1
"1489" 1989 1989.25 4 4 0 2
"1762" 1989 1989.25 4 4 6 3
"62" 1989.25 1989.5 0 0 0 1
"257" 1989.25 1989.5 1 1 678.33 1
"452" 1989.25 1989.5 2 2 133 1
"647" 1989.25 1989.5 3 3 6 1
"842" 1989.25 1989.5 4 4 0 1
"63" 1989.5 1989.75 0 0 158.73 1
"998" 1989.5 1989.75 0 0 0 2
"1803" 1989.5 1989.75 0 0 0 4
"2008" 1989.5 1989.75 0 0 0 5
"2213" 1989.5 1989.75 0 0 0 6
"258" 1989.5 1989.75 1 1 1671.72 1
"1121" 1989.5 1989.75 1 1 1096.62 2
"1844" 1989.5 1989.75 1 1 0 4
"2049" 1989.5 1989.75 1 1 0 5
"2253" 1989.5 1989.75 1 1 0 6
"453" 1989.5 1989.75 2 2 266.48 1
"1244" 1989.5 1989.75 2 2 197.85 2
"1885" 1989.5 1989.75 2 2 0 4
"2090" 1989.5 1989.75 2 2 0 5
"2293" 1989.5 1989.75 2 2 0 6
"648" 1989.5 1989.75 3 3 4.63 1
"1367" 1989.5 1989.75 3 3 0 2
"1926" 1989.5 1989.75 3 3 0 4
"2131" 1989.5 1989.75 3 3 0 5
"2333" 1989.5 1989.75 3 3 0 6
"843" 1989.5 1989.75 4 4 0 1
"1490" 1989.5 1989.75 4 4 0 2
"1967" 1989.5 1989.75 4 4 0 4
"2172" 1989.5 1989.75 4 4 0 5
"2373" 1989.5 1989.75 4 4 0 6
"64" 1989.75 1990 0 0 4853.52 1
"999" 1989.75 1990 0 0 4720.84 2
"259" 1989.75 1990 1 1 1740.69 1
"1122" 1989.75 1990 1 1 1945.02 2
"454" 1989.75 1990 2 2 92.93 1
"1245" 1989.75 1990 2 2 90.17 2
"649" 1989.75 1990 3 3 13 1
"1368" 1989.75 1990 3 3 12.73 2
"844" 1989.75 1990 4 4 0 1
"1491" 1989.75 1990 4 4 0 2
"65" 1990 1990.25 0 0 0 1
"1000" 1990 1990.25 0 0 0 2
"1599" 1990 1990.25 0 0 0 3
"260" 1990 1990.25 1 1 1840 1
"1123" 1990 1990.25 1 1 1485.8 2
"1640" 1990 1990.25 1 1 1295 3
"455" 1990 1990.25 2 2 584 1
